未经 critic 评审 —— r66a · 路 A 的【逐位】等价证明(不读表达式,实跑比对)
[L2/宿主仿真]  deps: clrig.py@8ad47ce8d260dd18 r57_bandlimit.py@74036010b514080d
原件(改动前)= /tmp/claude-1000/-home-it1234-processor/530be877-5ec0-4df7-ae7b-ed9cade0a0b7/scratchpad/nhs_orig.py
比对四项:①y 原始字节 ②loop 原始字节 ③ctr 全部计数器 ④全部槽 (st,f,depth,target)
格点:6 条种子 × G ∈ anchor+[-1.0, 1.0, 3.0] × 三臂(N / Na / O),T_OBS=6.0s

原件有 growth_and_gate 属性?False  (应为 False)
现件有 growth_and_gate 属性?True  (应为 True),默认值 = False(应为 False)

  T60  sd     Δ   臂         Hb1 默认关 vs 原件         Hb2 强制开 vs 原件
  0.2   0  -1.0   N                ✅ 逐位相同                 (无差异)
  0.2   0  -1.0  Na                ✅ 逐位相同                 (无差异)
  0.2   0  -1.0   O                ✅ 逐位相同                 (无差异)
  0.2   0  +1.0   N                ✅ 逐位相同                 (无差异)
  0.2   0  +1.0  Na                ✅ 逐位相同                 (无差异)
  0.2   0  +1.0   O                ✅ 逐位相同                 (无差异)
  0.2   0  +3.0   N                ✅ 逐位相同                 (无差异)
  0.2   0  +3.0  Na                ✅ 逐位相同                 (无差异)
  0.2   0  +3.0   O                ✅ 逐位相同                 (无差异)
  0.2   1  -1.0   N                ✅ 逐位相同                 (无差异)
  0.2   1  -1.0  Na                ✅ 逐位相同                 (无差异)
  0.2   1  -1.0   O                ✅ 逐位相同                 (无差异)
  0.2   1  +1.0   N                ✅ 逐位相同                 (无差异)
  0.2   1  +1.0  Na                ✅ 逐位相同                 (无差异)
  0.2   1  +1.0   O                ✅ 逐位相同                 (无差异)
  0.2   1  +3.0   N                ✅ 逐位相同                 (无差异)
  0.2   1  +3.0  Na                ✅ 逐位相同                 (无差异)
  0.2   1  +3.0   O                ✅ 逐位相同                 (无差异)
  0.2   2  -1.0   N                ✅ 逐位相同                 (无差异)
  0.2   2  -1.0  Na                ✅ 逐位相同                 (无差异)
  0.2   2  -1.0   O                ✅ 逐位相同                 (无差异)
  0.2   2  +1.0   N                ✅ 逐位相同                 (无差异)
  0.2   2  +1.0  Na                ✅ 逐位相同                 (无差异)
  0.2   2  +1.0   O                ✅ 逐位相同                 (无差异)
  0.2   2  +3.0   N                ✅ 逐位相同                 (无差异)
  0.2   2  +3.0  Na                ✅ 逐位相同                 (无差异)
  0.2   2  +3.0   O                ✅ 逐位相同                 (无差异)
  0.5   0  -1.0   N                ✅ 逐位相同                 (无差异)
  0.5   0  -1.0  Na                ✅ 逐位相同                 (无差异)
  0.5   0  -1.0   O                ✅ 逐位相同                 (无差异)
  0.5   0  +1.0   N                ✅ 逐位相同                 (无差异)
  0.5   0  +1.0  Na                ✅ 逐位相同                 (无差异)
  0.5   0  +1.0   O                ✅ 逐位相同                 (无差异)
  0.5   0  +3.0   N                ✅ 逐位相同                 (无差异)
  0.5   0  +3.0  Na                ✅ 逐位相同                 (无差异)
  0.5   0  +3.0   O                ✅ 逐位相同                 (无差异)
  0.5   1  -1.0   N                ✅ 逐位相同                 (无差异)
  0.5   1  -1.0  Na                ✅ 逐位相同                 (无差异)
  0.5   1  -1.0   O                ✅ 逐位相同                 (无差异)
  0.5   1  +1.0   N                ✅ 逐位相同                 (无差异)
  0.5   1  +1.0  Na                ✅ 逐位相同                 (无差异)
  0.5   1  +1.0   O                ✅ 逐位相同                 (无差异)
  0.5   1  +3.0   N                ✅ 逐位相同                 (无差异)
  0.5   1  +3.0  Na                ✅ 逐位相同                 (无差异)
  0.5   1  +3.0   O                ✅ 逐位相同                 (无差异)
  0.5   2  -1.0   N                ✅ 逐位相同                 (无差异)
  0.5   2  -1.0  Na                ✅ 逐位相同                 (无差异)
  0.5   2  -1.0   O                ✅ 逐位相同                 (无差异)
  0.5   2  +1.0   N                ✅ 逐位相同                 (无差异)
  0.5   2  +1.0  Na                ✅ 逐位相同                 (无差异)
  0.5   2  +1.0   O                ✅ 逐位相同                 (无差异)
  0.5   2  +3.0   N                ✅ 逐位相同                 (无差异)
  0.5   2  +3.0  Na                ✅ 逐位相同                 (无差异)
  0.5   2  +3.0   O                ✅ 逐位相同                 (无差异)

================================================================================================
  Hb1(默认关 vs 原件):**54/54 格逐位相同**  ⇒ PASS
  Hb2(强制开 vs 原件,**阳性对照**):0/54 格出现差异  ⇒ ⛔ FAIL —— 比对器无分辨力或开关没接上,整件作废

⛔ 未经 critic 评审;本文件不含结论性判读。
